50帧频道,#genre#
CCTV7,http://111.225.94.110:33333/hls/7/index.m3u8
CCTV7,http://111.225.94.238:33333/hls/7/index.m3u8
CCTV7,http://123.183.76.21:808/hls/7/index.m3u8
CCTV7,http://123.11.144.185:22222/hls/7/index.m3u8
CCTV7国防军事,http://171.13.119.47:808/hls/7/index.m3u8
CCTV7国防军事,http://222.89.28.102:808/hls/7/index.m3u8
CCTV7,http://61.52.157.201:808/hls/7/index.m3u8
CCTV8,http://111.225.94.14:33333/hls/8/index.m3u8
CCTV8,http://111.225.94.110:33333/hls/8/index.m3u8
CCTV8,http://111.225.94.238:33333/hls/8/index.m3u8
CCTV8,http://123.183.76.21:808/hls/77/index.m3u8
CCTV8,http://121.24.98.5:8090/hls/16/index.m3u8
CCTV8,http://123.11.144.185:22222/hls/8/index.m3u8
CCTV8影视,http://171.13.119.47:808/hls/8/index.m3u8
CCTV8影视,http://222.89.28.102:808/hls/8/index.m3u8
CCTV8,http://61.52.157.201:808/hls/8/index.m3u8
CCTV9,http://111.225.94.14:33333/hls/9/index.m3u8
CCTV9,http://111.225.94.110:33333/hls/9/index.m3u8
CCTV9,http://111.225.94.238:33333/hls/9/index.m3u8
CCTV9,http://123.183.76.21:808/hls/9/index.m3u8
CCTV9,http://121.24.98.5:8090/hls/17/index.m3u8
CCTV9记录,http://171.13.119.47:808/hls/9/index.m3u8
CCTV9,http://123.11.144.185:22222/hls/9/index.m3u8
CCTV9记录,http://222.89.28.102:808/hls/9/index.m3u8
CCTV9,http://61.52.157.201:808/hls/9/index.m3u8
CCTV10,http://111.225.94.14:33333/hls/10/index.m3u8
CCTV10,http://111.225.94.110:33333/hls/10/index.m3u8
CCTV10,http://111.225.94.238:33333/hls/10/index.m3u8
CCTV10,http://123.183.76.21:808/hls/10/index.m3u8
CCTV10,http://121.24.98.5:8090/hls/18/index.m3u8
CCTV10,http://123.11.144.185:22222/hls/10/index.m3u8
CCTV10,http://61.52.157.201:808/hls/10/index.m3u8
CCTV11,http://111.225.94.14:33333/hls/11/index.m3u8
CCTV11,http://111.225.94.110:33333/hls/11/index.m3u8
CCTV11,http://111.225.94.238:33333/hls/11/index.m3u8
CCTV11,http://123.183.76.21:808/hls/11/index.m3u8
CCTV11,http://121.24.98.5:8090/hls/19/index.m3u8
CCTV11,http://123.11.144.185:22222/hls/11/index.m3u8
CCTV11戏曲,http://171.13.119.47:808/hls/11/index.m3u8
CCTV11戏曲,http://222.89.28.102:808/hls/11/index.m3u8
CCTV11,http://61.52.157.201:808/hls/11/index.m3u8
CCTV12,http://111.225.94.14:33333/hls/12/index.m3u8
CCTV12,http://111.225.94.110:33333/hls/12/index.m3u8
CCTV12,http://111.225.94.238:33333/hls/12/index.m3u8
CCTV12,http://123.183.76.21:808/hls/12/index.m3u8
CCTV12,http://121.24.98.5:8090/hls/20/index.m3u8
CCTV12社会与法,http://171.13.119.47:808/hls/12/index.m3u8
CCTV12,http://123.11.144.185:22222/hls/12/index.m3u8
CCTV12社会与法,http://222.89.28.102:808/hls/12/index.m3u8
CCTV12,http://61.52.157.201:808/hls/12/index.m3u8
CCTV13,http://111.225.94.14:33333/hls/13/index.m3u8
CCTV13,http://111.225.94.110:33333/hls/13/index.m3u8
CCTV13,http://111.225.94.238:33333/hls/13/index.m3u8
CCTV13,http://123.183.76.21:808/hls/13/index.m3u8
CCTV13,http://123.11.144.185:22222/hls/13/index.m3u8
CCTV13,http://61.52.157.201:808/hls/13/index.m3u8
CCTV14,http://111.225.94.14:33333/hls/14/index.m3u8
CCTV14,http://111.225.94.110:33333/hls/14/index.m3u8
CCTV14,http://111.225.94.238:33333/hls/14/index.m3u8
CCTV14,http://123.183.76.21:808/hls/14/index.m3u8
CCTV14,http://121.24.98.5:8090/hls/22/index.m3u8
CCTV14少儿,http://171.13.119.47:808/hls/14/index.m3u8
CCTV14,http://123.11.144.185:22222/hls/14/index.m3u8
CCTV14少儿,http://222.89.28.102:808/hls/14/index.m3u8
CCTV14,http://61.52.157.201:808/hls/14/index.m3u8
CCTV15,http://111.225.94.14:33333/hls/15/index.m3u8
CCTV15,http://111.225.94.110:33333/hls/15/index.m3u8
CCTV15,http://111.225.94.238:33333/hls/15/index.m3u8
CCTV15,http://123.183.76.21:808/hls/15/index.m3u8
CCTV15,http://121.24.98.5:8090/hls/23/index.m3u8
CCTV15,http://123.11.144.185:22222/hls/15/index.m3u8
CCTV15音乐,http://171.13.119.47:808/hls/15/index.m3u8
CCTV15音乐,http://222.89.28.102:808/hls/15/index.m3u8
CCTV15,http://61.52.157.201:808/hls/15/index.m3u8
CCTV17,http://111.225.94.14:33333/hls/16/index.m3u8
CCTV17,http://111.225.94.110:33333/hls/16/index.m3u8
CCTV17,http://111.225.94.238:33333/hls/16/index.m3u8
CCTV17,http://123.183.76.21:808/hls/93/index.m3u8
CCTV17,http://121.24.98.5:8090/hls/15/index.m3u8
CCTV17农业农村,http://171.13.119.47:808/hls/17/index.m3u8
CCTV17农业农村,http://222.89.28.102:808/hls/17/index.m3u8
1,http://1.197.168.215:9999
1,http://121.24.98.5:8090/hls/109/index.m3u8
1,http://222.136.198.222:808
1,http://42.233.232.226:8090
1,http://42.233.235.209:8090
1,http://42.49.34.19:808
2,http://121.24.98.5:8090/hls/110/index.m3u8
3,http://121.24.98.5:8090/hls/111/index.m3u8
5+,http://61.52.157.201:808/hls/75/index.m3u8
CETV1,http://121.24.98.5:8090/hls/67/index.m3u8
CETV1,http://123.183.76.21:808/hls/85/index.m3u8
CETV4,http://123.183.76.21:808/hls/92/index.m3u8
CNTV,http://171.13.119.47:808/hls/16/index.m3u8
CNTV,http://222.89.28.102:808/hls/16/index.m3u8
安徽卫视,http://111.225.94.110:33333/hls/43/index.m3u8
安徽卫视,http://111.225.94.14:33333/hls/43/index.m3u8
安徽卫视,http://111.225.94.238:33333/hls/43/index.m3u8
安徽卫视,http://121.24.98.5:8090/hls/81/index.m3u8
安徽卫视,http://123.183.76.21:808/hls/30/index.m3u8
安徽卫视,http://171.13.119.47:808/hls/68/index.m3u8
安徽卫视,http://222.89.28.102:808/hls/68/index.m3u8
安徽卫视,http://61.52.157.201:808/hls/32/index.m3u8
百姓调解,http://61.52.157.201:808/hls/82/index.m3u8
保定1,http://111.225.94.110:33333/hls/63/index.m3u8
保定1,http://111.225.94.14:33333/hls/63/index.m3u8
保定1,http://111.225.94.238:33333/hls/63/index.m3u8
保定2,http://111.225.94.110:33333/hls/64/index.m3u8
保定2,http://111.225.94.14:33333/hls/64/index.m3u8
保定2,http://111.225.94.238:33333/hls/64/index.m3u8
保定3,http://111.225.94.110:33333/hls/65/index.m3u8
保定3,http://111.225.94.14:33333/hls/65/index.m3u8
保定3,http://111.225.94.238:33333/hls/65/index.m3u8
北京卫视,http://111.225.94.110:33333/hls/25/index.m3u8
北京卫视,http://111.225.94.14:33333/hls/25/index.m3u8
北京卫视,http://111.225.94.238:33333/hls/25/index.m3u8
北京卫视,http://121.24.98.5:8090/hls/32/index.m3u8
北京卫视,http://123.183.76.21:808/hls/31/index.m3u8
北京卫视,http://171.13.119.47:808/hls/64/index.m3u8
北京卫视,http://222.89.28.102:808/hls/64/index.m3u8
北京卫视,http://61.52.157.201:808/hls/33/index.m3u8
兵团卫视,http://121.24.98.5:8090/hls/54/index.m3u8
重庆卫视,http://111.225.94.110:33333/hls/55/index.m3u8
